f,sscd21,sscd11,sscc21,sscc11,ssdd21,ssdd11,s11,s21,s12,s22
1224448897.795591,(0.000640155735956778+0.006980974708852727j),(-0.015639416753778515+0.0016016970054797998j),(-0.11592272578768337-0.9554161331875992j),(-0.1441607126828191+0.014267728395233058j),(-0.08812199952239069-0.8079724981189448j),(-0.5328326557701639+0.05260494627061252j),(-0.322857267472713+0.031834640327443j),(-0.01390036313264632-0.07372181753432726j),(-0.013900363132646396-0.07372181753432708j),(-0.35413610098027004+0.03503803433840255j)
1232464929.8597195,(0.001221925201493529+0.006835213129074147j),(-0.015473260731048155+0.0021898007236457705j),(-0.16504074404903335-0.9482121521888731j),(-0.14217507798752246+0.021312705178177325j),(-0.12401448618665503-0.8049851763194915j),(-0.5270093961425872+0.07475632329918341j),(-0.31911897633400677+0.04584471351503463j),(-0.02051312893118919-0.07161348793469076j),(-0.0205131289311892-0.07161348793469077j),(-0.35006549779610285+0.05022431496232635j)
1240480961.9238477,(0.0017796034523132331+0.00662914149883459j),(-0.01525813907470995+0.002766526668846185j),(-0.21375257438575532-0.9385333171788752j),(-0.13947410180632758+0.02811658945058925j),(-0.16012329068431494-0.8009763653920297j),(-0.519208972330063+0.096412593886505j),(-0.3140833979934853+0.05949806499970099j),(-0.02681464185072014-0.06877847589342277j),(-0.026814641850720338-0.0687784758934228j),(-0.3445996761429053+0.06503111833739361j)
1248496993.987976,(0.0023061341395601564+0.006366069214326642j),(-0.014993684216622727+0.0033288592550322j),(-0.26194074778956355-0.9263972974399457j),(-0.13608562128500945+0.03460749985669633j),(-0.1965065097778455-0.7958814984638183j),(-0.5094474426550128+0.11742364421559595j),(-0.3077728477533884+0.07268671278111392j),(-0.03271711900585909-0.0652578994880638j),(-0.032717119005859-0.06525789948806379j),(-0.3377602161866338+0.07934443129117867j)
1256513026.0521042,(0.002794792311372335+0.006050141135485965j),(-0.014679490294075614+0.0038734401545686727j),(-0.30948768877219546-0.9118262717178659j),(-0.13204457205193942+0.040716575669685284j),(-0.23321410054648295-0.7896194529258311j),(-0.49774709065875156+0.13763365276581124j),(-0.3002163410612699+0.08530167406317965j),(-0.03813679411285619-0.06110340939601739j),(-0.038136794112856365-0.06110340939601744j),(-0.329575321649421+0.09304855437231734j)
1264529058.1162324,(0.0032392736022040514+0.00568633597760132j),(-0.014315194761943442+0.004396504347622836j),(-0.3562757224725753-0.8948471221853647j),(-0.12739269457796193+0.04637865753921641j),(-0.27028563702431957-0.7820927409065788j),(-0.4841381659484003+0.1568801457869024j),(-0.2914502355012376+0.09723289731543663j),(-0.042995042724127776-0.05637719063939286j),(-0.042995042724127894-0.05637719063939281j),(-0.32008062502512463+0.10602590601068221j)
1272545090.1803608,(0.003633794286925479+0.005280458745750283j),(-0.01390057700344527+0.0048938281779808j),(-0.4021871221690243-0.8754916601573379j),(-0.12217817857754937+0.05153294662650335j),(-0.3077478299534745-0.7731878780045571j),(-0.46866099511718845+0.17499332570720544j),(-0.2815190098439236+0.10836930798887358j),(-0.04721964610777484-0.05115189107639043j),(-0.04721964610777496-0.05115189107639058j),(-0.30932016385081434+0.11815696434483496j)
1280561122.244489,(0.003973203155485383+0.004839123561693692j),(-0.013435673646455829+0.005360692906875381j),(-0.44710420336089235-0.8537968769969158j),(-0.1164552454355353+0.05612363704386414j),(-0.3456117902225061-0.7627760152696978j),(-0.45136845713377544+0.1917957554232675j),(-0.2704761776381996+0.11859900332669049j),(-0.05074620656919312-0.045510430863608974j),(-0.05074620656919309-0.045510430863608856j),(-0.2973475249311112+0.12932038914044103j)
1288577154.308617,(0.004253105417840408+0.004369722561605505j),(-0.012920909726163554+0.00579186783726611j),(-0.49090946965974547-0.829805212693181j),(-0.11028366896396999+0.060100516025649905j),(-0.3838700340851416-0.7507139357253757j),(-0.4323288039291899+0.20710249586624335j),(-0.2583853267204164+0.12780963810868054j),(-0.05351971778730194-0.03954563848390257j),(-0.053519717787301954-0.039545638483902704j),(-0.2842271461727435+0.13939337378321273j)
1296593186.3727455,(0.004469997850102825+0.003880375925935098j),(-0.012357243996794581+0.006181617638008979j),(-0.5334858146628219-0.8035648337411387j),(-0.10372823526156441+0.06341952576921442j),(-0.42249325203652294-0.7368455318988851j),(-0.41162878652264956+0.220721808225663j),(-0.24532126689531256+0.13588904935942975j),(-0.055496281313149626-0.033359650921126825j),(-0.055496281313149355-0.033359650921126804j),(-0.27003575488890136+0.14825228463544762j)
