f,S11,S12,S21,S22
1950000.9804999998,(0.004058727323442561+0.03534434469487801j),(0.003153609605996599+0.021970428048928944j),(0.003153609605996598+0.021970428048928937j),(0.004008906829342553+0.03528391886916381j)
2000000.98,(0.0042563521904112785+0.036228871819095336j),(0.0032961549736878885+0.022513949515076008j),(0.0032961549736878868+0.022513949515075994j),(0.004205551883608465+0.036167987131171295j)
2050000.9795,(0.004458657190938916+0.03711202335331587j),(0.0034418981824833905+0.02305632489950881j),(0.003441898182483389+0.023056324899508807j),(0.004406878736833756+0.037050699347993404j)
2100000.979,(0.004665631994504962+0.0379937708000535j),(0.003590831192219048+0.023597532578930352j),(0.0035908311922190454+0.023597532578930342j),(0.004612877030268916+0.03793202659604296j)
2150000.9784999997,(0.004877265945590045+0.03887408568631065j),(0.0037429455953173307+0.024137550913726588j),(0.0037429455953173272+0.02413755091372656j),(0.0048235360883537+0.03881194000032503j)
2200000.978,(0.005093548072038318+0.03975293957428976j),(0.0038982326308120954+0.024676358261322785j),(0.003898232630812096+0.02467635826132278j),(0.005038844926316359+0.03969041074313649j)
2250000.9775,(0.005314467092757944+0.040630304071258276j),(0.004056683197127615+0.025213932988416676j),(0.00405668319712761+0.02521393298841665j),(0.005258792257192352+0.04056741007212318j)
2300000.977,(0.005540011424838275+0.04150615083866512j),(0.004218287863768219+0.0257502534822198j),(0.0042182878637682135+0.025750253482219775j),(0.005483366498331115+0.041442909307768463j)
2350000.9765,(0.005770169190165759+0.04238045160059347j),(0.0043830368820528+0.02628529816082028j),(0.004383036882052795+0.026285298160820255j),(0.0057125557774654005+0.042316879850375806j)
2400000.976,(0.006004928221598683+0.04325317815162189j),(0.004550920195009655+0.026819045482764425j),(0.004550920195009664+0.026819045482764464j),(0.0059463479383888825+0.04318929318660059j)
2450000.9754999997,(0.006244276068749596+0.044124302364158374j),(0.004721927446531494+0.027351473955942007j),(0.00472192744653149+0.027351473955941976j),(0.006184730546296327+0.04406012089557753j)
2500000.975,(0.006488200003432537+0.044993796195300154j),(0.004896047989876915+0.027882562145847875j),(0.00489604798987692+0.027882562145847892j),(0.0064276908928257714+0.04492933465468565j)
2550000.9745,(0.00673668702480255+0.045861631693269136j),(0.00507327089559366+0.028412288683285117j),(0.005073270895593661+0.028412288683285113j),(0.006675216000833782+0.045796906244985794j)
